@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-8,10-15,17-21-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 8 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.attribute.Remove-R3-4'

@attribute g1_dis numeric
@attribute g1_relPos {-1,0,1,2,3,4,5,6,7,8}

@data
11,4
10,4
9,4
8,5
7,5
6,5
5,5
4,5
3,5
2,5
1,5
5,2
4,2
3,2
2,8
1,8
15,8
14,8
13,8
12,8
11,8
10,8
9,8
8,8
7,8
6,8
5,8
4,8
3,8
2,8
1,8
21,6
20,6
19,6
18,6
17,6
16,6
15,6
14,6
13,6
12,6
11,6
10,6
9,6
8,5
7,5
6,5
5,5
4,5
3,5
2,5
1,5
