@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-8,10-15,17-21'

@attribute g1_dis numeric
@attribute g1_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute action {North,East,South,West}

@data
11,4,East
10,4,East
9,4,East
8,5,South
7,5,South
6,5,South
5,5,South
4,5,South
3,5,South
2,5,South
1,5,South
5,2,East
4,2,East
3,2,East
2,8,North
1,8,North
15,8,West
14,8,West
13,8,West
12,8,West
11,8,West
10,8,West
9,8,West
8,8,West
7,8,West
6,8,West
5,8,West
4,8,West
3,8,West
2,8,North
1,8,North
21,6,West
20,6,West
19,6,West
18,6,West
17,6,West
16,6,West
15,6,West
14,6,West
13,6,West
12,6,West
11,6,West
10,6,West
9,6,West
8,5,South
7,5,South
6,5,South
5,5,South
4,5,South
3,5,South
2,5,South
1,5,South
