@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-14,19-24,29-36-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute g1_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute action {North,East,South,West}

@data
0.545455,0.272727,1,0.727273,4,4,4,4,East
0.5,0.227273,0.954545,0.681818,4,4,4,4,East
0.454545,0.181818,0.909091,0.636364,4,4,4,4,East
0.409091,0.136364,0.863636,0.590909,5,5,4,4,South
0.363636,0.090909,0.818182,0.545455,5,5,4,4,South
0.318182,0,0.772727,0.5,5,-1,4,3,South
0.272727,0,0.727273,0.545455,5,-1,4,2,South
0.227273,0,0.681818,0.590909,5,-1,4,2,South
0.181818,0,0.636364,0.636364,5,-1,4,2,South
0.136364,0,0.590909,0.681818,5,-1,4,2,South
0.090909,0,0.545455,0.727273,5,-1,4,2,South
0,0,0.5,0.772727,-1,-1,3,2,East
0,0,0.454545,0.727273,-1,-1,3,2,East
0,0,0.409091,0.681818,-1,-1,3,2,East
0,0,0.363636,0.636364,-1,-1,3,2,East
0,0,0.318182,0.590909,-1,-1,3,2,East
0,0,0.272727,0.545455,-1,-1,3,2,East
0,0,0.227273,0.5,-1,-1,3,2,East
0,0,0.181818,0.454545,-1,-1,3,2,East
0,0,0.136364,0.409091,-1,-1,3,2,East
0,0,0.090909,0.363636,-1,-1,3,2,East
0,0,0,0.318182,-1,-1,-1,8,North
0,0,0,0.272727,-1,-1,-1,8,North
0,0,0,0.227273,-1,-1,-1,8,North
0,0,0,0.181818,-1,-1,-1,8,North
0,0,0,0.136364,-1,-1,-1,8,North
0,0,0,0.090909,-1,-1,-1,8,North
0.272727,0.545455,0.727273,1,2,2,2,2,East
0.227273,0.5,0.681818,0.954545,2,2,2,2,East
0.181818,0.454545,0.636364,0.909091,2,2,2,2,East
0.136364,0.409091,0.590909,0.863636,8,8,2,2,North
0.090909,0.363636,0.545455,0.818182,8,8,2,2,North
0,0.318182,0.5,0.772727,-1,8,3,2,North
0,0.272727,0.545455,0.727273,-1,8,4,2,North
0,0.227273,0.590909,0.681818,-1,8,4,2,North
0,0.181818,0.636364,0.636364,-1,8,4,2,North
0,0.136364,0.681818,0.590909,-1,8,4,2,North
0,0.090909,0.727273,0.545455,-1,8,4,2,North
0,0,0.772727,0.5,-1,-1,4,3,East
0,0,0.727273,0.454545,-1,-1,4,3,East
0,0,0.681818,0.409091,-1,-1,4,3,East
0,0,0.636364,0.363636,-1,-1,4,3,East
0,0,0.590909,0.318182,-1,-1,4,3,East
0,0,0.545455,0.272727,-1,-1,4,3,East
0,0,0.5,0.227273,-1,-1,4,3,East
0,0,0.454545,0.181818,-1,-1,4,3,East
0,0,0.409091,0.136364,-1,-1,4,3,East
0,0,0.363636,0.090909,-1,-1,4,3,East
0,0,0.318182,0,-1,-1,5,-1,South
0,0,0.272727,0,-1,-1,5,-1,South
0,0,0.227273,0,-1,-1,5,-1,South
0,0,0.181818,0,-1,-1,5,-1,South
0,0,0.136364,0,-1,-1,5,-1,South
0,0,0.090909,0,-1,-1,5,-1,South
0.727273,1,0.272727,0.545455,8,8,8,8,West
0.681818,0.954545,0.227273,0.5,8,8,8,8,West
0.636364,0.909091,0.181818,0.454545,8,8,8,8,West
0.590909,0.863636,0.136364,0.409091,8,8,8,8,North
0.545455,0.818182,0.090909,0.363636,8,8,8,8,North
0.5,0.772727,0,0.318182,7,8,-1,8,North
0.545455,0.727273,0,0.272727,6,8,-1,8,North
0.590909,0.681818,0,0.227273,6,8,-1,8,North
0.636364,0.636364,0,0.181818,6,8,-1,8,North
0.681818,0.590909,0,0.136364,6,8,-1,8,North
0.727273,0.545455,0,0.090909,6,8,-1,8,North
0.772727,0.5,0,0,6,7,-1,-1,West
0.727273,0.454545,0,0,6,7,-1,-1,West
0.681818,0.409091,0,0,6,7,-1,-1,West
0.636364,0.363636,0,0,6,7,-1,-1,West
0.590909,0.318182,0,0,6,7,-1,-1,West
0.545455,0.272727,0,0,6,7,-1,-1,West
0.5,0.227273,0,0,6,7,-1,-1,West
0.454545,0.181818,0,0,6,7,-1,-1,West
0.409091,0.136364,0,0,6,7,-1,-1,West
0.363636,0.090909,0,0,6,7,-1,-1,West
0.318182,0,0,0,5,-1,-1,-1,South
0.272727,0,0,0,5,-1,-1,-1,South
0.227273,0,0,0,5,-1,-1,-1,South
0.181818,0,0,0,5,-1,-1,-1,South
0.136364,0,0,0,5,-1,-1,-1,South
0.090909,0,0,0,5,-1,-1,-1,South
1,0.727273,0.545455,0.272727,6,6,6,6,West
0.954545,0.681818,0.5,0.227273,6,6,6,6,West
0.909091,0.636364,0.454545,0.181818,6,6,6,6,West
0.863636,0.590909,0.409091,0.136364,6,6,5,5,South
0.818182,0.545455,0.363636,0.090909,6,6,5,5,South
0.772727,0.5,0.318182,0,6,7,5,-1,South
0.727273,0.545455,0.272727,0,6,8,5,-1,South
0.681818,0.590909,0.227273,0,6,8,5,-1,South
0.636364,0.636364,0.181818,0,6,8,5,-1,South
0.590909,0.681818,0.136364,0,6,8,5,-1,South
0.545455,0.727273,0.090909,0,6,8,5,-1,South
0.5,0.772727,0,0,7,8,-1,-1,West
0.454545,0.727273,0,0,7,8,-1,-1,West
0.409091,0.681818,0,0,7,8,-1,-1,West
0.363636,0.636364,0,0,7,8,-1,-1,West
0.318182,0.590909,0,0,7,8,-1,-1,West
0.272727,0.545455,0,0,7,8,-1,-1,West
0.227273,0.5,0,0,7,8,-1,-1,West
0.181818,0.454545,0,0,7,8,-1,-1,West
0.136364,0.409091,0,0,7,8,-1,-1,West
0.090909,0.363636,0,0,7,8,-1,-1,West
0,0.318182,0,0,-1,8,-1,-1,North
0,0.272727,0,0,-1,8,-1,-1,North
0,0.227273,0,0,-1,8,-1,-1,North
0,0.181818,0,0,-1,8,-1,-1,North
0,0.136364,0,0,-1,8,-1,-1,North
0,0.090909,0,0,-1,8,-1,-1,North
