@RELATION pacman

@ATTRIBUTE pacx numeric
@ATTRIBUTE pacy numeric
@ATTRIBUTE legal_north {true, false}
@ATTRIBUTE legal_east {true, false}
@ATTRIBUTE legal_south {true, false}
@ATTRIBUTE legal_west {true, false}
@ATTRIBUTE g1_x NUMERIC
@ATTRIBUTE g1_y NUMERIC
@ATTRIBUTE g2_x NUMERIC
@ATTRIBUTE g2_y NUMERIC
@ATTRIBUTE g3_x NUMERIC
@ATTRIBUTE g3_y NUMERIC
@ATTRIBUTE g4_x NUMERIC
@ATTRIBUTE g4_y NUMERIC
@ATTRIBUTE g1_dis NUMERIC
@ATTRIBUTE g2_dis NUMERIC
@ATTRIBUTE g3_dis NUMERIC
@ATTRIBUTE g4_dis NUMERIC
@ATTRIBUTE num_walls NUMERIC
@ATTRIBUTE alive_ghosts NUMERIC
@ATTRIBUTE score NUMERIC
@ATTRIBUTE future_score NUMERIC
@ATTRIBUTE future_alive_ghosts NUMERIC
@ATTRIBUTE last_action {Stop, North, East, South, West}
@ATTRIBUTE g1_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g2_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g3_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g4_relPos {-1,0,1,2,3,4,5,6,7,8}
@ATTRIBUTE g1_closest {true, false}
@ATTRIBUTE g2_closest {true, false}
@ATTRIBUTE g3_closest {true, false}
@ATTRIBUTE g4_closest {true, false}
@ATTRIBUTE norht_best {true, false}
@ATTRIBUTE east_best {true, false}
@ATTRIBUTE south_best {true, false}
@ATTRIBUTE west_best {true, false}
@ATTRIBUTE action {North, East, South, West}

@DATA
1,13,false,true,true,false,4,5,4,11,14,5,14,11,11,5,21,15,0,4,0,-1,4,Stop,4,4,4,4,false,true,false,false,false,true,false,false,East
2,13,false,true,true,true,4,5,4,11,14,5,14,11,10,4,20,14,0,4,-1,-2,4,East,4,4,4,4,false,true,false,false,false,true,false,false,East
3,13,false,true,true,true,4,5,4,11,14,5,14,11,9,3,19,13,0,4,-2,-3,4,East,4,4,4,4,false,true,false,false,false,true,false,false,East
4,13,false,true,true,true,4,5,4,11,14,5,14,11,8,2,18,12,0,4,-3,-4,4,East,5,5,4,4,false,true,false,false,false,false,true,false,South
4,12,true,true,true,true,4,5,4,11,14,5,14,11,7,1,17,11,0,4,-4,95,3,South,5,5,4,4,false,true,false,false,false,false,true,false,South
4,11,true,true,true,true,4,5,3,1,14,5,14,11,6,-1,16,10,0,3,195,194,3,South,5,-1,4,3,true,false,false,false,false,false,true,false,South
4,10,true,true,true,true,4,5,3,1,14,5,14,11,5,-1,15,11,0,3,194,193,3,South,5,-1,4,2,true,false,false,false,false,false,true,false,South
4,9,true,true,true,true,4,5,3,1,14,5,14,11,4,-1,14,12,0,3,193,192,3,South,5,-1,4,2,true,false,false,false,false,false,true,false,South
4,8,true,true,true,true,4,5,3,1,14,5,14,11,3,-1,13,13,0,3,192,191,3,South,5,-1,4,2,true,false,false,false,false,false,true,false,South
4,7,true,true,true,true,4,5,3,1,14,5,14,11,2,-1,12,14,0,3,191,190,3,South,5,-1,4,2,true,false,false,false,false,false,true,false,South
4,6,true,true,true,true,4,5,3,1,14,5,14,11,1,-1,11,15,0,3,190,289,2,South,5,-1,4,2,true,false,false,false,false,false,true,false,South
4,5,true,true,true,true,1,1,3,1,14,5,14,11,-1,-1,10,16,0,2,389,388,2,South,-1,-1,3,2,false,false,true,false,false,true,false,false,East
5,5,true,true,true,true,1,1,3,1,14,5,14,11,-1,-1,9,15,0,2,388,387,2,East,-1,-1,3,2,false,false,true,false,false,true,false,false,East
6,5,true,true,true,true,1,1,3,1,14,5,14,11,-1,-1,8,14,0,2,387,386,2,East,-1,-1,3,2,false,false,true,false,false,true,false,false,East
7,5,true,true,true,true,1,1,3,1,14,5,14,11,-1,-1,7,13,0,2,386,385,2,East,-1,-1,3,2,false,false,true,false,false,true,false,false,East
8,5,true,true,true,true,1,1,3,1,14,5,14,11,-1,-1,6,12,0,2,385,384,2,East,-1,-1,3,2,false,false,true,false,false,true,false,false,East
