@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-14,19-24,29-36'

@attribute g1_dis numeric
@attribute g2_dis numeric
@attribute g3_dis numeric
@attribute g4_dis numeric
@attribute g1_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute g2_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute g3_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute g4_relPos {-1,0,1,2,3,4,5,6,7,8}
@attribute action {North,East,South,West}

@data
11,5,21,15,4,4,4,4,East
10,3,20,14,4,4,4,4,East
10,1,20,14,4,5,4,4,South
8,-1,19,14,4,-1,4,4,East
6,-1,17,12,4,-1,4,4,East
6,-1,17,10,5,-1,4,4,South
6,-1,16,8,5,-1,4,3,South
6,-1,16,8,4,-1,4,3,East
6,-1,16,8,4,-1,4,2,East
5,-1,16,6,5,-1,4,2,South
3,-1,15,7,5,-1,4,2,South
1,-1,14,7,5,-1,4,2,South
-1,-1,12,8,-1,-1,4,2,East
-1,-1,10,8,-1,-1,4,2,East
-1,-1,8,8,-1,-1,4,2,East
-1,-1,6,7,-1,-1,4,2,East
-1,-1,6,5,-1,-1,4,2,East
-1,-1,4,5,-1,-1,4,2,East
-1,-1,2,3,-1,-1,5,8,South
-1,-1,2,5,-1,-1,4,2,East
-1,-1,2,3,-1,-1,6,8,West
-1,-1,1,5,-1,-1,5,2,South
-1,-1,-1,7,-1,-1,-1,2,East
-1,-1,-1,7,-1,-1,-1,2,East
-1,-1,-1,7,-1,-1,-1,2,East
-1,-1,-1,6,-1,-1,-1,2,East
-1,-1,-1,4,-1,-1,-1,8,North
-1,-1,-1,4,-1,-1,-1,8,West
-1,-1,-1,3,-1,-1,-1,8,North
-1,-1,-1,2,-1,-1,-1,8,North
-1,-1,-1,1,-1,-1,-1,8,North
5,11,15,21,2,2,2,2,East
3,9,15,19,2,2,2,2,East
1,9,13,19,3,2,2,2,East
-1,8,13,19,-1,2,2,2,East
-1,8,13,19,-1,2,2,2,East
-1,8,13,17,-1,2,2,2,East
-1,6,13,17,-1,8,2,2,North
